nSeq,I1,I2,O1,O2,A1,A1_filtrado,A1_normalizado
12,0,0,0,0,507,507,-0.048218163387961636
13,0,0,0,0,507,507,-0.048218163387961636
14,0,0,0,0,508,508,0.038389117939077344
15,0,0,0,0,508,508,0.038389117939077344
0,0,0,0,0,508,508,0.038389117939077344
1,0,0,0,0,506,507,-0.048218163387961636
2,0,0,0,0,507,507,-0.048218163387961636
3,0,0,0,0,509,507,-0.048218163387961636
4,0,0,0,0,506,506,-0.1348254447150006
5,0,0,0,0,505,506,-0.1348254447150006
6,0,0,0,0,510,506,-0.1348254447150006
7,0,0,0,0,506,509,0.12499639926611632
8,0,0,0,0,509,508,0.038389117939077344
9,0,0,0,0,508,509,0.12499639926611632
10,0,0,0,0,509,508,0.038389117939077344
11,0,0,0,0,508,508,0.038389117939077344
12,0,0,0,0,502,506,-0.1348254447150006
13,0,0,0,0,506,504,-0.30804000736907855
14,0,0,0,0,504,504,-0.30804000736907855
15,0,0,0,0,499,503,-0.39464728869611754
0,0,0,0,0,503,503,-0.39464728869611754
1,0,0,0,0,504,504,-0.30804000736907855
2,0,0,0,0,515,515,0.6446400872283502
3,0,0,0,0,523,516,0.7312473685553892
4,0,0,0,0,516,516,0.7312473685553892
5,0,0,0,0,509,509,0.12499639926611632
6,0,0,0,0,508,508,0.038389117939077344
7,0,0,0,0,507,507,-0.048218163387961636
8,0,0,0,0,504,504,-0.30804000736907855
9,0,0,0,0,504,504,-0.30804000736907855
10,0,0,0,0,505,504,-0.30804000736907855
11,0,0,0,0,504,505,-0.2214327260420396
12,0,0,0,0,508,508,0.038389117939077344
13,0,0,0,0,509,508,0.038389117939077344
14,0,0,0,0,508,508,0.038389117939077344
15,0,0,0,0,506,506,-0.1348254447150006
0,0,0,0,0,501,506,-0.1348254447150006
1,0,0,0,0,507,507,-0.048218163387961636
2,0,0,0,0,512,512,0.38481824324723324
3,0,0,0,0,512,512,0.38481824324723324
4,0,0,0,0,508,508,0.038389117939077344
5,0,0,0,0,507,507,-0.048218163387961636
6,0,0,0,0,505,507,-0.048218163387961636
7,0,0,0,0,507,507,-0.048218163387961636
8,0,0,0,0,508,508,0.038389117939077344
9,0,0,0,0,509,508,0.038389117939077344
10,0,0,0,0,507,507,-0.048218163387961636
11,0,0,0,0,501,501,-0.5678618513501955
12,0,0,0,0,500,501,-0.5678618513501955
13,0,0,0,0,503,503,-0.39464728869611754
14,0,0,0,0,507,507,-0.048218163387961636
15,0,0,0,0,515,515,0.6446400872283502
0,0,0,0,0,515,515,0.6446400872283502
1,0,0,0,0,516,516,0.7312473685553892
2,0,0,0,0,516,516,0.7312473685553892
3,0,0,0,0,511,511,0.2982109619201943
4,0,0,0,0,507,507,-0.048218163387961636
5,0,0,0,0,504,504,-0.30804000736907855
6,0,0,0,0,504,504,-0.30804000736907855
7,0,0,0,0,504,504,-0.30804000736907855
8,0,0,0,0,508,506,-0.1348254447150006
9,0,0,0,0,506,507,-0.048218163387961636
10,0,0,0,0,507,506,-0.1348254447150006
11,0,0,0,0,506,507,-0.048218163387961636
12,0,0,0,0,509,506,-0.1348254447150006
13,0,0,0,0,504,506,-0.1348254447150006
14,0,0,0,0,506,506,-0.1348254447150006
15,0,0,0,0,506,506,-0.1348254447150006
0,0,0,0,0,503,506,-0.1348254447150006
1,0,0,0,0,507,503,-0.39464728869611754
2,0,0,0,0,503,503,-0.39464728869611754
3,0,0,0,0,503,503,-0.39464728869611754
4,0,0,0,0,505,505,-0.2214327260420396
5,0,0,0,0,505,505,-0.2214327260420396
6,0,0,0,0,505,505,-0.2214327260420396
7,0,0,0,0,504,505,-0.2214327260420396
8,0,0,0,0,508,508,0.038389117939077344
9,0,0,0,0,511,511,0.2982109619201943
10,0,0,0,0,511,511,0.2982109619201943
11,0,0,0,0,508,510,0.2116036805931553
12,0,0,0,0,510,508,0.038389117939077344
13,0,0,0,0,508,508,0.038389117939077344
14,0,0,0,0,506,508,0.038389117939077344
15,0,0,0,0,509,509,0.12499639926611632
0,0,0,0,0,509,509,0.12499639926611632
1,0,0,0,0,507,509,0.12499639926611632
2,0,0,0,0,509,509,0.12499639926611632
3,0,0,0,0,510,510,0.2116036805931553
4,0,0,0,0,516,510,0.2116036805931553
5,0,0,0,0,508,508,0.038389117939077344
6,0,0,0,0,504,507,-0.048218163387961636
7,0,0,0,0,507,504,-0.30804000736907855
8,0,0,0,0,504,507,-0.048218163387961636
9,0,0,0,0,507,507,-0.048218163387961636
10,0,0,0,0,511,508,0.038389117939077344
11,0,0,0,0,508,508,0.038389117939077344
12,0,0,0,0,508,508,0.038389117939077344
13,0,0,0,0,507,508,0.038389117939077344
14,0,0,0,0,510,509,0.12499639926611632
15,0,0,0,0,509,509,0.12499639926611632
0,0,0,0,0,507,507,-0.048218163387961636
1,0,0,0,0,504,505,-0.2214327260420396
2,0,0,0,0,505,505,-0.2214327260420396
3,0,0,0,0,506,506,-0.1348254447150006
4,0,0,0,0,506,506,-0.1348254447150006
5,0,0,0,0,502,502,-0.4812545700231565
6,0,0,0,0,502,502,-0.4812545700231565
7,0,0,0,0,506,506,-0.1348254447150006
8,0,0,0,0,506,506,-0.1348254447150006
9,0,0,0,0,507,507,-0.048218163387961636
10,0,0,0,0,509,509,0.12499639926611632
11,0,0,0,0,510,510,0.2116036805931553
12,0,0,0,0,521,518,0.9044619312094672
13,0,0,0,0,518,518,0.9044619312094672
14,0,0,0,0,506,506,-0.1348254447150006
15,0,0,0,0,501,505,-0.2214327260420396
0,0,0,0,0,505,505,-0.2214327260420396
1,0,0,0,0,510,508,0.038389117939077344
2,0,0,0,0,508,509,0.12499639926611632
3,0,0,0,0,509,508,0.038389117939077344
4,0,0,0,0,508,508,0.038389117939077344
5,0,0,0,0,500,503,-0.39464728869611754
6,0,0,0,0,503,503,-0.39464728869611754
7,0,0,0,0,504,504,-0.30804000736907855
8,0,0,0,0,512,512,0.38481824324723324
9,0,0,0,0,518,512,0.38481824324723324
10,0,0,0,0,512,512,0.38481824324723324
11,0,0,0,0,512,512,0.38481824324723324
12,0,0,0,0,506,506,-0.1348254447150006
13,0,0,0,0,506,506,-0.1348254447150006
14,0,0,0,0,520,514,0.5580328059013112
15,0,0,0,0,514,514,0.5580328059013112
0,0,0,0,0,503,503,-0.39464728869611754
1,0,0,0,0,495,496,-1.0008982579853904
2,0,0,0,0,496,496,-1.0008982579853904
3,0,0,0,0,506,506,-0.1348254447150006
4,0,0,0,0,507,507,-0.048218163387961636
5,0,0,0,0,508,507,-0.048218163387961636
6,0,0,0,0,506,506,-0.1348254447150006
7,0,0,0,0,504,505,-0.2214327260420396
8,0,0,0,0,505,504,-0.30804000736907855
9,0,0,0,0,504,505,-0.2214327260420396
10,0,0,0,0,508,508,0.038389117939077344
11,0,0,0,0,512,511,0.2982109619201943
12,0,0,0,0,511,511,0.2982109619201943
13,0,0,0,0,511,511,0.2982109619201943
14,0,0,0,0,515,512,0.38481824324723324
15,0,0,0,0,512,512,0.38481824324723324
0,0,0,0,0,511,511,0.2982109619201943
1,0,0,0,0,506,506,-0.1348254447150006
2,0,0,0,0,503,505,-0.2214327260420396
3,0,0,0,0,505,505,-0.2214327260420396
4,0,0,0,0,507,505,-0.2214327260420396
5,0,0,0,0,504,504,-0.30804000736907855
6,0,0,0,0,503,504,-0.30804000736907855
7,0,0,0,0,505,505,-0.2214327260420396
8,0,0,0,0,507,507,-0.048218163387961636
9,0,0,0,0,508,508,0.038389117939077344
10,0,0,0,0,510,509,0.12499639926611632
11,0,0,0,0,509,509,0.12499639926611632
12,0,0,0,0,509,509,0.12499639926611632
13,0,0,0,0,507,507,-0.048218163387961636
14,0,0,0,0,506,506,-0.1348254447150006
15,0,0,0,0,505,506,-0.1348254447150006
0,0,0,0,0,508,505,-0.2214327260420396
1,0,0,0,0,505,507,-0.048218163387961636
2,0,0,0,0,507,507,-0.048218163387961636
3,0,0,0,0,509,509,0.12499639926611632
4,0,0,0,0,511,510,0.2116036805931553
5,0,0,0,0,510,510,0.2116036805931553
6,0,0,0,0,508,508,0.038389117939077344
7,0,0,0,0,507,508,0.038389117939077344
8,0,0,0,0,509,507,-0.048218163387961636
9,0,0,0,0,506,506,-0.1348254447150006
10,0,0,0,0,504,505,-0.2214327260420396
11,0,0,0,0,505,505,-0.2214327260420396
12,0,0,0,0,505,505,-0.2214327260420396
13,0,0,0,0,506,506,-0.1348254447150006
14,0,0,0,0,508,508,0.038389117939077344
15,0,0,0,0,508,508,0.038389117939077344
0,0,0,0,0,510,508,0.038389117939077344
1,0,0,0,0,505,505,-0.2214327260420396
2,0,0,0,0,503,504,-0.30804000736907855
3,0,0,0,0,504,504,-0.30804000736907855
4,0,0,0,0,508,507,-0.048218163387961636
5,0,0,0,0,507,508,0.038389117939077344
6,0,0,0,0,509,509,0.12499639926611632
7,0,0,0,0,511,510,0.2116036805931553
8,0,0,0,0,510,510,0.2116036805931553
9,0,0,0,0,505,505,-0.2214327260420396
10,0,0,0,0,505,505,-0.2214327260420396
11,0,0,0,0,506,506,-0.1348254447150006
12,0,0,0,0,507,507,-0.048218163387961636
13,0,0,0,0,508,507,-0.048218163387961636
14,0,0,0,0,505,508,0.038389117939077344
15,0,0,0,0,511,511,0.2982109619201943
0,0,0,0,0,517,512,0.38481824324723324
1,0,0,0,0,512,512,0.38481824324723324
2,0,0,0,0,507,507,-0.048218163387961636
3,0,0,0,0,505,505,-0.2214327260420396
4,0,0,0,0,505,505,-0.2214327260420396
5,0,0,0,0,502,504,-0.30804000736907855
6,0,0,0,0,504,504,-0.30804000736907855
7,0,0,0,0,508,508,0.038389117939077344
8,0,0,0,0,508,508,0.038389117939077344
9,0,0,0,0,507,507,-0.048218163387961636
10,0,0,0,0,507,507,-0.048218163387961636
11,0,0,0,0,499,503,-0.39464728869611754
12,0,0,0,0,503,503,-0.39464728869611754
13,0,0,0,0,504,503,-0.39464728869611754
14,0,0,0,0,502,504,-0.30804000736907855
15,0,0,0,0,505,502,-0.4812545700231565
0,0,0,0,0,501,505,-0.2214327260420396
1,0,0,0,0,510,510,0.2116036805931553
2,0,0,0,0,526,521,1.1642837751905841
3,0,0,0,0,521,521,1.1642837751905841
4,0,0,0,0,511,511,0.2982109619201943
5,0,0,0,0,507,507,-0.048218163387961636
6,0,0,0,0,505,505,-0.2214327260420396
7,0,0,0,0,504,505,-0.2214327260420396
8,0,0,0,0,506,506,-0.1348254447150006
9,0,0,0,0,508,508,0.038389117939077344
10,0,0,0,0,510,510,0.2116036805931553
11,0,0,0,0,513,510,0.2116036805931553
12,0,0,0,0,510,510,0.2116036805931553
13,0,0,0,0,501,505,-0.2214327260420396
14,0,0,0,0,505,505,-0.2214327260420396
15,0,0,0,0,505,505,-0.2214327260420396
0,0,0,0,0,505,505,-0.2214327260420396
1,0,0,0,0,508,506,-0.1348254447150006
2,0,0,0,0,506,506,-0.1348254447150006
3,0,0,0,0,504,506,-0.1348254447150006
4,0,0,0,0,506,506,-0.1348254447150006
5,0,0,0,0,508,507,-0.048218163387961636
6,0,0,0,0,507,508,0.038389117939077344
7,0,0,0,0,508,508,0.038389117939077344
8,0,0,0,0,509,508,0.038389117939077344
9,0,0,0,0,506,507,-0.048218163387961636
10,0,0,0,0,507,506,-0.1348254447150006
11,0,0,0,0,506,507,-0.048218163387961636
12,0,0,0,0,509,509,0.12499639926611632
13,0,0,0,0,518,512,0.38481824324723324
14,0,0,0,0,512,512,0.38481824324723324
15,0,0,0,0,503,503,-0.39464728869611754
0,0,0,0,0,499,499,-0.7410764140042735
1,0,0,0,0,491,499,-0.7410764140042735
2,0,0,0,0,505,505,-0.2214327260420396
3,0,0,0,0,509,507,-0.048218163387961636
4,0,0,0,0,507,509,0.12499639926611632
5,0,0,0,0,510,507,-0.048218163387961636
6,0,0,0,0,507,510,0.2116036805931553
7,0,0,0,0,511,511,0.2982109619201943
8,0,0,0,0,513,511,0.2982109619201943
9,0,0,0,0,510,510,0.2116036805931553
10,0,0,0,0,508,508,0.038389117939077344
11,0,0,0,0,508,508,0.038389117939077344
12,0,0,0,0,504,504,-0.30804000736907855
13,0,0,0,0,502,504,-0.30804000736907855
14,0,0,0,0,504,504,-0.30804000736907855
15,0,0,0,0,508,508,0.038389117939077344
0,0,0,0,0,511,511,0.2982109619201943
1,0,0,0,0,511,511,0.2982109619201943
2,0,0,0,0,511,511,0.2982109619201943
3,0,0,0,0,512,512,0.38481824324723324
4,0,0,0,0,512,512,0.38481824324723324
5,0,0,0,0,510,510,0.2116036805931553
6,0,0,0,0,504,505,-0.2214327260420396
7,0,0,0,0,505,504,-0.30804000736907855
8,0,0,0,0,504,505,-0.2214327260420396
9,0,0,0,0,506,506,-0.1348254447150006
10,0,0,0,0,506,506,-0.1348254447150006
11,0,0,0,0,505,505,-0.2214327260420396
12,0,0,0,0,505,505,-0.2214327260420396
13,0,0,0,0,504,504,-0.30804000736907855
14,0,0,0,0,504,504,-0.30804000736907855
15,0,0,0,0,511,509,0.12499639926611632
0,0,0,0,0,509,509,0.12499639926611632
1,0,0,0,0,509,509,0.12499639926611632
2,0,0,0,0,512,509,0.12499639926611632
3,0,0,0,0,508,510,0.2116036805931553
4,0,0,0,0,510,508,0.038389117939077344
5,0,0,0,0,508,508,0.038389117939077344
6,0,0,0,0,508,508,0.038389117939077344
7,0,0,0,0,508,508,0.038389117939077344
8,0,0,0,0,504,506,-0.1348254447150006
9,0,0,0,0,506,504,-0.30804000736907855
10,0,0,0,0,504,504,-0.30804000736907855
11,0,0,0,0,504,504,-0.30804000736907855
12,0,0,0,0,510,510,0.2116036805931553
13,0,0,0,0,510,510,0.2116036805931553
14,0,0,0,0,507,510,0.2116036805931553
15,0,0,0,0,510,510,0.2116036805931553
0,0,0,0,0,510,510,0.2116036805931553
1,0,0,0,0,508,508,0.038389117939077344
2,0,0,0,0,506,507,-0.048218163387961636
3,0,0,0,0,507,507,-0.048218163387961636
4,0,0,0,0,509,509,0.12499639926611632
5,0,0,0,0,509,509,0.12499639926611632
6,0,0,0,0,504,504,-0.30804000736907855
7,0,0,0,0,503,503,-0.39464728869611754
8,0,0,0,0,503,503,-0.39464728869611754
9,0,0,0,0,502,503,-0.39464728869611754
10,0,0,0,0,504,503,-0.39464728869611754
11,0,0,0,0,503,504,-0.30804000736907855
12,0,0,0,0,510,510,0.2116036805931553
13,0,0,0,0,513,513,0.4714255245742722
14,0,0,0,0,526,516,0.7312473685553892
15,0,0,0,0,516,516,0.7312473685553892
0,0,0,0,0,506,506,-0.1348254447150006
1,0,0,0,0,503,506,-0.1348254447150006
2,0,0,0,0,507,507,-0.048218163387961636
3,0,0,0,0,515,513,0.4714255245742722
4,0,0,0,0,513,513,0.4714255245742722
5,0,0,0,0,513,513,0.4714255245742722
6,0,0,0,0,511,511,0.2982109619201943
7,0,0,0,0,505,505,-0.2214327260420396
8,0,0,0,0,499,500,-0.6544691326772345
9,0,0,0,0,500,500,-0.6544691326772345
10,0,0,0,0,506,505,-0.2214327260420396
11,0,0,0,0,505,506,-0.1348254447150006
12,0,0,0,0,511,511,0.2982109619201943
13,0,0,0,0,511,511,0.2982109619201943
14,0,0,0,0,508,508,0.038389117939077344
15,0,0,0,0,506,506,-0.1348254447150006
0,0,0,0,0,506,506,-0.1348254447150006
1,0,0,0,0,508,506,-0.1348254447150006
2,0,0,0,0,505,505,-0.2214327260420396
3,0,0,0,0,503,505,-0.2214327260420396
4,0,0,0,0,507,507,-0.048218163387961636
5,0,0,0,0,510,508,0.038389117939077344
6,0,0,0,0,508,509,0.12499639926611632
7,0,0,0,0,509,508,0.038389117939077344
8,0,0,0,0,507,507,-0.048218163387961636
9,0,0,0,0,506,507,-0.048218163387961636
10,0,0,0,0,507,507,-0.048218163387961636
11,0,0,0,0,508,507,-0.048218163387961636
12,0,0,0,0,507,508,0.038389117939077344
13,0,0,0,0,508,507,-0.048218163387961636
14,0,0,0,0,505,506,-0.1348254447150006
15,0,0,0,0,506,506,-0.1348254447150006
0,0,0,0,0,507,506,-0.1348254447150006
1,0,0,0,0,506,507,-0.048218163387961636
2,0,0,0,0,507,506,-0.1348254447150006
3,0,0,0,0,506,507,-0.048218163387961636
4,0,0,0,0,510,509,0.12499639926611632
5,0,0,0,0,509,509,0.12499639926611632
6,0,0,0,0,506,508,0.038389117939077344
7,0,0,0,0,508,508,0.038389117939077344
8,0,0,0,0,508,508,0.038389117939077344
9,0,0,0,0,512,508,0.038389117939077344
10,0,0,0,0,507,507,-0.048218163387961636
11,0,0,0,0,506,507,-0.048218163387961636
12,0,0,0,0,512,512,0.38481824324723324
13,0,0,0,0,514,512,0.38481824324723324
14,0,0,0,0,510,510,0.2116036805931553
15,0,0,0,0,505,505,-0.2214327260420396
0,0,0,0,0,494,496,-1.0008982579853904
1,0,0,0,0,496,496,-1.0008982579853904
2,0,0,0,0,505,505,-0.2214327260420396
3,0,0,0,0,506,506,-0.1348254447150006
4,0,0,0,0,508,507,-0.048218163387961636
5,0,0,0,0,507,508,0.038389117939077344
6,0,0,0,0,508,507,-0.048218163387961636
7,0,0,0,0,506,508,0.038389117939077344
8,0,0,0,0,508,508,0.038389117939077344
9,0,0,0,0,509,508,0.038389117939077344
10,0,0,0,0,507,507,-0.048218163387961636
11,0,0,0,0,507,507,-0.048218163387961636
12,0,0,0,0,504,504,-0.30804000736907855
13,0,0,0,0,504,504,-0.30804000736907855
14,0,0,0,0,506,506,-0.1348254447150006
15,0,0,0,0,513,512,0.38481824324723324
0,0,0,0,0,512,512,0.38481824324723324
1,0,0,0,0,510,510,0.2116036805931553
2,0,0,0,0,508,508,0.038389117939077344
3,0,0,0,0,506,506,-0.1348254447150006
4,0,0,0,0,505,506,-0.1348254447150006
5,0,0,0,0,506,506,-0.1348254447150006
6,0,0,0,0,507,507,-0.048218163387961636
7,0,0,0,0,507,507,-0.048218163387961636
8,0,0,0,0,506,506,-0.1348254447150006
9,0,0,0,0,503,503,-0.39464728869611754
10,0,0,0,0,503,503,-0.39464728869611754
11,0,0,0,0,505,505,-0.2214327260420396
12,0,0,0,0,508,507,-0.048218163387961636
13,0,0,0,0,507,507,-0.048218163387961636
14,0,0,0,0,506,507,-0.048218163387961636
15,0,0,0,0,508,508,0.038389117939077344
0,0,0,0,0,510,510,0.2116036805931553
1,0,0,0,0,510,510,0.2116036805931553
2,0,0,0,0,509,509,0.12499639926611632
3,0,0,0,0,507,507,-0.048218163387961636
4,0,0,0,0,505,505,-0.2214327260420396
5,0,0,0,0,503,505,-0.2214327260420396
6,0,0,0,0,506,505,-0.2214327260420396
7,0,0,0,0,505,506,-0.1348254447150006
8,0,0,0,0,510,508,0.038389117939077344
9,0,0,0,0,508,508,0.038389117939077344
10,0,0,0,0,507,508,0.038389117939077344
11,0,0,0,0,511,511,0.2982109619201943
12,0,0,0,0,513,512,0.38481824324723324
13,0,0,0,0,512,512,0.38481824324723324
14,0,0,0,0,508,508,0.038389117939077344
15,0,0,0,0,507,508,0.038389117939077344
0,0,0,0,0,508,507,-0.048218163387961636
1,0,0,0,0,506,508,0.038389117939077344
2,0,0,0,0,508,506,-0.1348254447150006
3,0,0,0,0,505,505,-0.2214327260420396
4,0,0,0,0,504,504,-0.30804000736907855
5,0,0,0,0,501,504,-0.30804000736907855
6,0,0,0,0,508,508,0.038389117939077344
7,0,0,0,0,509,508,0.038389117939077344
8,0,0,0,0,506,507,-0.048218163387961636
9,0,0,0,0,507,506,-0.1348254447150006
10,0,0,0,0,506,507,-0.048218163387961636
11,0,0,0,0,508,507,-0.048218163387961636
12,0,0,0,0,507,508,0.038389117939077344
13,0,0,0,0,509,508,0.038389117939077344
14,0,0,0,0,508,508,0.038389117939077344
15,0,0,0,0,506,506,-0.1348254447150006
0,0,0,0,0,501,506,-0.1348254447150006
1,0,0,0,0,507,507,-0.048218163387961636
2,0,0,0,0,508,508,0.038389117939077344
3,0,0,0,0,514,508,0.038389117939077344
4,0,0,0,0,505,505,-0.2214327260420396
5,0,0,0,0,505,505,-0.2214327260420396
6,0,0,0,0,501,501,-0.5678618513501955
7,0,0,0,0,498,500,-0.6544691326772345
8,0,0,0,0,500,500,-0.6544691326772345
9,0,0,0,0,508,508,0.038389117939077344
10,0,0,0,0,515,515,0.6446400872283502
11,0,0,0,0,529,519,0.9910692125365062
12,0,0,0,0,519,519,0.9910692125365062
13,0,0,0,0,511,511,0.2982109619201943
14,0,0,0,0,507,507,-0.048218163387961636
15,0,0,0,0,507,507,-0.048218163387961636
0,0,0,0,0,508,508,0.038389117939077344
1,0,0,0,0,508,508,0.038389117939077344
2,0,0,0,0,505,505,-0.2214327260420396
3,0,0,0,0,502,505,-0.2214327260420396
4,0,0,0,0,506,506,-0.1348254447150006
5,0,0,0,0,514,510,0.2116036805931553
6,0,0,0,0,510,510,0.2116036805931553
7,0,0,0,0,507,507,-0.048218163387961636
8,0,0,0,0,503,503,-0.39464728869611754
9,0,0,0,0,502,503,-0.39464728869611754
10,0,0,0,0,505,505,-0.2214327260420396
11,0,0,0,0,508,507,-0.048218163387961636
12,0,0,0,0,507,507,-0.048218163387961636
13,0,0,0,0,505,505,-0.2214327260420396
14,0,0,0,0,504,505,-0.2214327260420396
15,0,0,0,0,508,508,0.038389117939077344
0,0,0,0,0,510,508,0.038389117939077344
1,0,0,0,0,507,507,-0.048218163387961636
2,0,0,0,0,505,506,-0.1348254447150006
3,0,0,0,0,506,505,-0.2214327260420396
4,0,0,0,0,505,505,-0.2214327260420396
5,0,0,0,0,505,505,-0.2214327260420396
6,0,0,0,0,504,505,-0.2214327260420396
7,0,0,0,0,506,506,-0.1348254447150006
8,0,0,0,0,510,507,-0.048218163387961636
9,0,0,0,0,507,508,0.038389117939077344
10,0,0,0,0,508,507,-0.048218163387961636
11,0,0,0,0,504,507,-0.048218163387961636
12,0,0,0,0,507,507,-0.048218163387961636
13,0,0,0,0,509,508,0.038389117939077344
14,0,0,0,0,508,509,0.12499639926611632
15,0,0,0,0,514,514,0.5580328059013112
0,0,0,0,0,515,514,0.5580328059013112
1,0,0,0,0,509,509,0.12499639926611632
2,0,0,0,0,499,499,-0.7410764140042735
3,0,0,0,0,494,499,-0.7410764140042735
4,0,0,0,0,503,503,-0.39464728869611754
5,0,0,0,0,507,507,-0.048218163387961636
6,0,0,0,0,509,508,0.038389117939077344
7,0,0,0,0,508,509,0.12499639926611632
8,0,0,0,0,509,508,0.038389117939077344
9,0,0,0,0,506,507,-0.048218163387961636
10,0,0,0,0,507,507,-0.048218163387961636
11,0,0,0,0,512,509,0.12499639926611632
12,0,0,0,0,509,509,0.12499639926611632
13,0,0,0,0,509,509,0.12499639926611632
14,0,0,0,0,506,506,-0.1348254447150006
15,0,0,0,0,505,506,-0.1348254447150006
0,0,0,0,0,507,505,-0.2214327260420396
1,0,0,0,0,505,505,-0.2214327260420396
2,0,0,0,0,504,505,-0.2214327260420396
3,0,0,0,0,507,507,-0.048218163387961636
4,0,0,0,0,513,513,0.4714255245742722
5,0,0,0,0,513,513,0.4714255245742722
6,0,0,0,0,514,513,0.4714255245742722
7,0,0,0,0,511,511,0.2982109619201943
8,0,0,0,0,509,509,0.12499639926611632
9,0,0,0,0,505,505,-0.2214327260420396
10,0,0,0,0,505,505,-0.2214327260420396
11,0,0,0,0,510,510,0.2116036805931553
12,0,0,0,0,510,510,0.2116036805931553
13,0,0,0,0,508,508,0.038389117939077344
14,0,0,0,0,508,508,0.038389117939077344
15,0,0,0,0,506,506,-0.1348254447150006
0,0,0,0,0,505,505,-0.2214327260420396
1,0,0,0,0,505,505,-0.2214327260420396
2,0,0,0,0,509,508,0.038389117939077344
3,0,0,0,0,508,508,0.038389117939077344
4,0,0,0,0,505,507,-0.048218163387961636
5,0,0,0,0,507,507,-0.048218163387961636
6,0,0,0,0,508,508,0.038389117939077344
7,0,0,0,0,508,508,0.038389117939077344
8,0,0,0,0,505,505,-0.2214327260420396
9,0,0,0,0,504,504,-0.30804000736907855
10,0,0,0,0,502,504,-0.30804000736907855
11,0,0,0,0,504,504,-0.30804000736907855
12,0,0,0,0,511,510,0.2116036805931553
13,0,0,0,0,510,510,0.2116036805931553
14,0,0,0,0,509,509,0.12499639926611632
15,0,0,0,0,507,507,-0.048218163387961636
0,0,0,0,0,499,502,-0.4812545700231565
1,0,0,0,0,502,502,-0.4812545700231565
2,0,0,0,0,503,503,-0.39464728869611754
3,0,0,0,0,513,513,0.4714255245742722
4,0,0,0,0,527,527,1.683927463152818
5,0,0,0,0,533,527,1.683927463152818
6,0,0,0,0,519,519,0.9910692125365062
7,0,0,0,0,503,503,-0.39464728869611754
8,0,0,0,0,502,502,-0.4812545700231565
9,0,0,0,0,502,502,-0.4812545700231565
10,0,0,0,0,502,502,-0.4812545700231565
11,0,0,0,0,504,504,-0.30804000736907855
12,0,0,0,0,507,504,-0.30804000736907855
13,0,0,0,0,504,504,-0.30804000736907855
14,0,0,0,0,502,502,-0.4812545700231565
15,0,0,0,0,499,502,-0.4812545700231565
0,0,0,0,0,511,509,0.12499639926611632
1,0,0,0,0,509,509,0.12499639926611632
2,0,0,0,0,508,508,0.038389117939077344
3,0,0,0,0,506,506,-0.1348254447150006
4,0,0,0,0,505,506,-0.1348254447150006
5,0,0,0,0,507,506,-0.1348254447150006
6,0,0,0,0,506,507,-0.048218163387961636
7,0,0,0,0,508,508,0.038389117939077344
8,0,0,0,0,508,508,0.038389117939077344
9,0,0,0,0,506,508,0.038389117939077344
10,0,0,0,0,508,508,0.038389117939077344
11,0,0,0,0,508,508,0.038389117939077344
12,0,0,0,0,511,508,0.038389117939077344
13,0,0,0,0,507,507,-0.048218163387961636
14,0,0,0,0,505,507,-0.048218163387961636
15,0,0,0,0,510,510,0.2116036805931553
0,0,0,0,0,510,510,0.2116036805931553
1,0,0,0,0,506,506,-0.1348254447150006
2,0,0,0,0,506,506,-0.1348254447150006
3,0,0,0,0,504,506,-0.1348254447150006
4,0,0,0,0,511,510,0.2116036805931553
5,0,0,0,0,510,510,0.2116036805931553
6,0,0,0,0,507,507,-0.048218163387961636
7,0,0,0,0,507,507,-0.048218163387961636
8,0,0,0,0,508,507,-0.048218163387961636
9,0,0,0,0,507,508,0.038389117939077344
10,0,0,0,0,508,508,0.038389117939077344
11,0,0,0,0,508,508,0.038389117939077344
12,0,0,0,0,507,508,0.038389117939077344
13,0,0,0,0,509,509,0.12499639926611632
14,0,0,0,0,511,511,0.2982109619201943
15,0,0,0,0,512,512,0.38481824324723324
0,0,0,0,0,517,516,0.7312473685553892
1,0,0,0,0,516,516,0.7312473685553892
2,0,0,0,0,508,508,0.038389117939077344
